timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1679299849478,41244,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-86,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,41244,0,2427
1679299849425,41298,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-56,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,41298,0,2459
1679299850071,40651,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-421,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,40651,0,6963
1679299849874,40848,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-312,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,40848,0,10152
1679299849741,41011,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-230,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,41010,0,9923
1679299849821,40947,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-271,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,40947,0,9714
1679299849815,40953,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-267,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,40953,0,10519
1679299850143,40625,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-465,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,40625,0,7345
1679299849584,41189,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-146,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,41189,0,2627
1679299849385,41416,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-8,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,41416,0,2122
1679299849385,41463,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-10,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,41463,0,3119
1679299849387,41461,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-3,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,41461,0,2239
1679299849788,41094,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-254,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,41094,0,10483
1679299849750,41132,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-234,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,41132,0,9137
1679299890319,583,HTTP 要求: Step2: Profile,200,OK,執行緒群組 1-116,text,true,,1111,564,500,500,https://crm.test.fv-dev.chelpis-app.com/user/profile,582,0,0
1679299849488,41416,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-94,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,41415,0,1940
1679299849715,41238,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-212,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,41238,0,1993
1679299849725,41228,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-221,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,41228,0,2317
1679299849410,41543,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-54,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,41543,0,2631
1679299849406,41547,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-48,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,41547,0,2464
1679299850024,40929,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-396,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,40929,0,9541
1679299849405,41657,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-46,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,41657,0,2983
1679299849385,41679,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-16,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,41679,0,2450
1679299849926,41148,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-341,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,41148,0,10115
1679299849418,41832,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-61,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,41832,0,2036
1679299849930,41380,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-346,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,41380,0,10022
1679299849767,41573,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-245,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,41573,0,10578
1679299850151,41493,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-469,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,41493,0,9260
1679299850104,41572,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-444,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,41571,0,9393
1679299849916,42042,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-328,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42042,0,9842
1679299849867,42091,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-310,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42091,0,10639
1679299849821,42158,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-273,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42158,0,10833
1679299849936,42145,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-336,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42145,0,10392
1679299849472,42619,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-81,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42619,0,2618
1679299850154,41943,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-472,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,41943,0,9385
1679299849590,42522,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-149,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42522,0,5046
1679299849835,42277,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-279,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42277,0,10660
1679299849584,42714,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-154,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42714,0,2267
1679299849809,42490,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-264,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42490,0,9884
1679299849547,42752,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-122,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42752,0,2299
1679299850034,42267,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-401,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42267,0,7728
1679299849499,42803,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-102,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42803,0,2615
1679299849690,42612,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-191,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42612,0,8886
1679299849385,42919,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-15,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42919,0,2975
1679299890383,1918,HTTP 要求: Step2: Profile,200,OK,執行緒群組 1-342,text,true,,1112,564,500,500,https://crm.test.fv-dev.chelpis-app.com/user/profile,1918,0,0
1679299889825,2476,HTTP 要求: Step2: Profile,200,OK,執行緒群組 1-214,text,true,,1109,564,500,500,https://crm.test.fv-dev.chelpis-app.com/user/profile,2476,0,0
1679299849541,42757,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-118,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42757,0,2432
1679299849983,42315,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-370,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42315,0,9609
1679299849741,42564,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-226,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42564,0,8809
1679299892096,208,HTTP 要求: Step2: Profile,200,OK,執行緒群組 1-472,text,true,,1117,564,500,500,https://crm.test.fv-dev.chelpis-app.com/user/profile,208,0,0
1679299850207,42094,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-499,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42094,0,7258
1679299850173,42129,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-480,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42129,0,7931
1679299849777,42528,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-250,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42528,0,10762
1679299849860,42455,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-307,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42455,0,10201
1679299849385,42936,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-6,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42936,0,3168
1679299849949,42373,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-356,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42373,0,10167
1679299850092,42230,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-438,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42230,0,7519
1679299849486,42837,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-85,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42836,0,2783
1679299849917,42406,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-339,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42406,0,10400
1679299890206,2120,HTTP 要求: Step2: Profile,200,OK,執行緒群組 1-115,text,true,,1111,564,500,500,https://crm.test.fv-dev.chelpis-app.com/user/profile,2120,0,0
1679299890382,1953,HTTP 要求: Step2: Profile,200,OK,執行緒群組 1-89,text,true,,1106,564,500,500,https://crm.test.fv-dev.chelpis-app.com/user/profile,1953,0,0
1679299849761,42592,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-243,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42592,0,9406
1679299849458,42913,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-74,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42913,0,3118
1679299849992,42384,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-375,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42384,0,9939
1679299849891,42485,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-320,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42485,0,10171
1679299849387,42989,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-33,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42989,0,2440
1679299849460,42916,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-82,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42916,0,2609
1679299850105,42273,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-447,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42272,0,9299
1679299890598,1779,HTTP 要求: Step2: Profile,200,OK,執行緒群組 1-410,text,true,,1119,564,500,500,https://crm.test.fv-dev.chelpis-app.com/user/profile,1779,0,0
1679299885551,6832,HTTP 要求: Step2: Profile,200,OK,執行緒群組 1-141,text,true,,1098,564,500,500,https://crm.test.fv-dev.chelpis-app.com/user/profile,6832,0,0
1679299890655,1763,HTTP 要求: Step2: Profile,200,OK,執行緒群組 1-377,text,true,,1095,564,500,500,https://crm.test.fv-dev.chelpis-app.com/user/profile,1763,0,0
1679299849576,42844,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-140,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42844,0,1911
1679299849942,42478,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-352,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42478,0,10636
1679299849388,43064,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-29,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,43064,0,3047
1679299849479,42972,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-84,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42972,0,2221
1679299849388,43065,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-28,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,43065,0,9060
1679299849687,42765,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-189,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42765,0,1896
1679299849385,43068,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-21,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,43068,0,10299
1679299849441,43013,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-77,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,43013,0,3446
1679299849386,43068,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-38,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,43068,0,3097
1679299849941,42518,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-351,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42518,0,10088
1679299849740,42719,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-229,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42719,0,8549
1679299890211,2275,HTTP 要求: Step2: Profile,200,OK,執行緒群組 1-456,text,true,,1098,564,500,500,https://crm.test.fv-dev.chelpis-app.com/user/profile,2274,0,0
1679299849386,43137,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-23,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,43137,0,2503
1679299849551,42972,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-124,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42971,0,3254
1679299849798,42725,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-263,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42725,0,9689
1679299849388,43137,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-35,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,43137,0,2712
1679299890649,1880,HTTP 要求: Step2: Profile,200,OK,執行緒群組 1-398,text,true,,1106,564,500,500,https://crm.test.fv-dev.chelpis-app.com/user/profile,1880,0,0
1679299849766,42775,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-242,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42775,0,10087
1679299849600,42941,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-156,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42941,0,1827
1679299849844,42697,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-284,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42697,0,8889
1679299891674,883,HTTP 要求: Step2: Profile,200,OK,執行緒群組 1-444,text,true,,1111,564,500,500,https://crm.test.fv-dev.chelpis-app.com/user/profile,883,0,0
1679299890882,1677,HTTP 要求: Step2: Profile,200,OK,執行緒群組 1-254,text,true,,1110,564,500,500,https://crm.test.fv-dev.chelpis-app.com/user/profile,1677,0,0
1679299850043,42526,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-409,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42526,0,8463
1679299849723,42849,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-218,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42849,0,9665
1679299850091,42482,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-434,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42482,0,10652
1679299850173,42402,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-482,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42402,0,7548
1679299849409,43173,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-53,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,43173,0,2134
1679299892321,260,HTTP 要求: Step2: Profile,200,OK,執行緒群組 1-85,text,true,,1114,564,500,500,https://crm.test.fv-dev.chelpis-app.com/user/profile,260,0,0
1679299890750,1838,HTTP 要求: Step2: Profile,200,OK,執行緒群組 1-230,text,true,,1113,564,500,500,https://crm.test.fv-dev.chelpis-app.com/user/profile,1838,0,0
1679299849846,42847,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-285,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42847,0,10016
1679299849815,42879,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-268,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42878,0,9938
1679299849599,43094,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-153,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,43094,0,1930
1679299849897,42798,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-321,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42798,0,9879
1679299849810,42886,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-265,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42885,0,9551
1679299849846,42851,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-299,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,42851,0,10516
1679299849388,43310,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-4,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,43310,0,2997
1679299849447,43250,HTTP 要求: Step1: Login,200,OK,執行緒群組 1-68,text,true,,678,387,500,500,https://crm.test.fv-dev.chelpis-app.com/line/user,43250,0,3162
1679299890846,1850,HTTP 要求: Step2: Profile,200,OK,執行緒群組 1-10,text,true,,1105,564,500,500,https://crm.test.fv-dev.chelpis-app.com/user/profile,1850,0,0
